registro;data;BRL;quartos;banheiros;casa_m²;lote_m²;nº_pavtos;frente_mar;visao;condicao;padrao;subsolo_m²;construcao;reforma;lat;log
3668000070;2015-01-05;1113000.0;3;2;1060;7875;1;0;0;4;7;0;1986;0;47.2761;-122.152
9545240070;2015-04-28;3467625.0;4;3;2010;9603;1;0;0;3;8;570;1986;0;47.5343;-122.054
1243100136;2014-06-12;4116000.0;3;4;3950;111078;2;0;0;3;9;1490;1989;0;47.697;-122.072
921049315;2014-08-13;1044750.0;3;2;1320;17390;1;0;0;4;7;0;1956;0;47.3257;-122.296
3655000070;2014-08-05;1155000.0;4;2;2020;7840;1;0;0;3;7;1010;1968;0;47.3309;-122.299
4027700812;2014-05-29;2373000.0;4;3;2590;10002;1;0;0;4;8;1250;1968;0;47.7689;-122.266
3992700335;2014-07-07;2008125.0;2;1;1190;4440;1;0;0;3;6;0;1981;0;47.7135;-122.287
1777500060;2014-07-08;2770425.0;5;3;2820;9375;1;0;0;4;8;1270;1968;0;47.5707;-122.128
1432900240;2015-05-08;1076250.0;3;1;1610;8579;1;0;0;4;7;600;1962;0;47.4563;-122.171
6071600370;2015-02-27;2625000.0;4;3;2030;8517;1;0;0;4;8;650;1961;0;47.5495;-122.174
1526069017;2014-12-03;4837875.0;4;3;3670;315374;2;0;0;4;9;0;1994;0;47.7421;-122.026
8075400570;2014-10-30;1354500.0;5;2;2260;12500;1;0;0;4;8;1130;1960;0;47.3887;-122.286
3362900810;2014-08-20;2793892.5;3;2;1360;3090;2;0;0;3;8;0;1990;0;47.6838;-122.353
537000445;2015-03-31;1485487.5;3;1;1250;8200;1;0;0;4;7;0;1954;0;47.3255;-122.304
8960000030;2014-07-28;1128750.0;3;1;1180;7669;1;0;0;4;7;0;1967;0;47.4479;-122.176
6388930390;2014-11-20;3412500.0;5;4;3960;25245;2;0;0;3;9;1460;1996;0;47.525;-122.172
8731900200;2014-08-07;1680000.0;4;3;2640;7500;1;0;0;3;8;1020;1967;0;47.3135;-122.369
1081200350;2014-10-03;1680000.0;4;2;1760;11180;1;0;0;4;8;0;1968;0;47.4715;-122.118
84000105;2014-05-07;1338750.0;5;3;2060;8632;1;0;0;3;7;1030;1962;0;47.4877;-122.335
3756500060;2015-03-09;2299500.0;3;2;1780;9660;1;0;0;3;7;0;1962;0;47.7171;-122.193
7215720160;2015-03-04;4725000.0;3;3;3400;16603;2;0;0;3;10;0;2000;0;47.6012;-122.023
3574800520;2014-06-20;2315250.0;3;3;1910;7280;1;0;0;3;7;750;1979;0;47.7319;-122.224
2617300160;2014-08-12;2205000.0;3;2;2020;38332;1;0;0;4;7;1010;1975;0;47.4582;-122.023
2558660270;2014-12-08;1942500.0;3;2;1580;7000;1;0;0;3;7;400;1976;0;47.7209;-122.168
1836980160;2015-03-24;4237275.0;4;3;2680;4499;2;0;0;3;9;0;1999;0;47.565;-122.125
3261020370;2014-06-05;3428250.0;3;3;2680;9750;1;0;0;4;8;1070;1979;0;47.7028;-122.231
1755700060;2014-06-11;1950375.0;3;2;1370;8336;1;0;0;5;7;0;1964;0;47.7458;-122.331
4330600435;2015-03-16;1491000.0;3;2;1560;21000;1;0;0;3;7;0;1954;0;47.4776;-122.337
9542800700;2015-01-02;1428000.0;3;2;2160;7140;1;0;0;4;7;490;1978;0;47.3026;-122.374
1999700045;2014-05-02;1643250.0;3;2;1340;7912;2;0;0;3;7;0;1955;0;47.7658;-122.339
1762600070;2015-01-16;4816875.0;4;3;3880;35003;2;0;0;3;10;1310;1984;0;47.6477;-122.182
1687900520;2014-09-29;3533250.0;4;3;2590;8190;2;0;0;4;8;0;1980;0;47.5619;-122.125
3881900445;2014-07-09;2099737.5;5;3;1970;5400;1;0;0;3;7;650;1986;0;47.5868;-122.308
5437810320;2014-11-17;1417237.5;3;2;1950;7560;1;0;2;4;7;630;1975;0;47.1976;-121.999
3830630310;2014-07-25;1365000.0;3;3;1670;5797;2;0;0;3;7;0;1988;0;47.3505;-122.179
3127200041;2014-06-13;3092250.0;4;3;2440;9600;2;0;0;5;7;0;1961;0;47.7044;-122.2
6661200320;2014-07-23;858375.0;2;2;1050;3419;2;0;0;3;7;0;1996;0;47.3848;-122.039
11510310;2014-09-05;4383750.0;4;3;3130;13412;2;0;0;3;9;990;1993;0;47.6993;-122.102
825059270;2014-11-21;5748750.0;5;3;4090;12850;1;0;2;4;10;2000;1986;0;47.6627;-122.188
8731951370;2015-04-15;1412250.0;4;2;1490;10000;1;0;0;4;8;390;1969;0;47.3099;-122.379
1954440060;2014-05-05;2940000.0;3;3;1900;8744;2;0;0;3;8;0;1987;0;47.62;-122.043
1115810060;2014-12-05;3072237.0;3;3;2230;10026;1;0;0;3;8;800;1975;0;47.6647;-122.153
9477200200;2014-08-18;1601250.0;3;2;1650;9480;1;0;0;3;7;430;1977;0;47.726;-122.191
1432600560;2014-11-05;876487.5;3;1;1190;8820;1;0;0;3;6;0;1959;0;47.4616;-122.184
2287000060;2014-09-12;4194750.0;3;3;2140;9897;1;0;0;4;8;0;1959;0;47.5505;-122.219
3663500060;2014-06-25;2100000.0;3;3;2180;7508;1;0;0;4;7;760;1962;0;47.7606;-122.336
2824079053;2015-01-13;2310000.0;3;3;1910;66211;2;0;0;3;7;0;1997;0;47.5385;-121.911
1222069094;2014-10-14;2021250.0;3;2;1350;155073;1;0;0;4;7;0;1969;0;47.4058;-121.994
2222059065;2014-11-12;1559250.0;3;3;1940;14952;2;0;0;3;8;0;1994;0;47.3777;-122.165
7551300060;2014-07-16;2467500.0;3;1;1010;5000;1;0;0;3;7;0;1952;0;47.675;-122.394
100600550;2014-08-04;1189125.0;3;2;1300;7370;1;0;0;4;7;400;1976;0;47.3025;-122.37
3211100860;2015-03-03;1439812.5;3;1;910;8450;1;0;0;4;6;0;1962;0;47.4787;-122.158
3456000310;2014-08-04;4410000.0;4;2;2480;11010;1;0;0;4;9;850;1966;0;47.5378;-122.219
2310030510;2015-04-22;1680000.0;4;3;1550;7579;2;0;0;3;8;0;1993;0;47.354;-122.047
8677300550;2014-05-15;3110625.0;4;3;2240;12032;1;0;0;3;9;0;1983;0;47.6143;-122.017
1102000196;2014-05-27;2504250.0;4;3;1720;6270;2;0;0;3;8;0;1978;0;47.5458;-122.268
46100204;2015-02-21;7901250.0;5;3;3300;33474;1;0;3;3;9;1430;1957;1991;47.5673;-122.21
1909600046;2014-07-03;2340649.5;3;3;2250;5692;2;0;0;3;8;0;2000;0;47.5133;-122.379
5611500140;2014-08-22;3601500.0;4;3;2760;6440;2;0;0;3;10;0;1999;0;47.5836;-122.026
7138000260;2014-06-05;1469737.5;3;2;1750;9750;1;0;0;3;7;400;1961;0;47.398;-122.299
626059335;2014-09-04;2766750.0;4;3;2330;19436;2;0;0;3;8;0;1987;0;47.7663;-122.215
1922059282;2014-09-18;1706250.0;3;3;2220;16020;1;0;0;4;8;440;1966;0;47.3758;-122.217
705700390;2014-09-03;1722000.0;3;3;2020;8379;2;0;0;3;7;0;1994;0;47.3828;-122.023
7972000200;2014-05-29;1390987.5;4;3;1720;9753;1;0;0;4;7;600;1978;0;47.2922;-122.371
722059070;2015-01-15;1233750.0;3;1;1430;15246;1;0;0;4;7;450;1961;0;47.4075;-122.214
2424000060;2014-06-16;2625000.0;4;3;2280;15347;1;0;0;5;7;0;1960;0;47.5218;-122.164
9264902050;2014-11-21;1653750.0;6;3;2940;7350;1;0;0;3;8;1160;1978;0;47.3103;-122.339
943100260;2014-11-20;1118250.0;2;1;1000;10200;1;0;0;3;6;0;1961;0;47.5687;-121.899
1762600320;2014-06-10;5381250.0;5;4;3760;28040;2;0;0;3;10;0;1983;0;47.6489;-122.183
4058000060;2015-04-09;2184000.0;3;2;2220;94300;1;0;0;5;7;580;1976;0;47.3459;-121.95
326069104;2014-07-01;4200000.0;3;4;3830;221284;2;0;0;3;10;300;1993;0;47.7641;-122.023
5152100060;2014-05-29;2478000.0;6;3;4410;14034;1;0;2;4;9;2060;1965;0;47.3376;-122.324
3584000310;2014-12-08;1181250.0;3;2;1430;8505;1;0;0;4;7;0;1968;0;47.3173;-122.319
6131600075;2015-04-27;1181250.0;3;1;1300;8316;1;0;0;4;6;0;1954;0;47.3221;-122.216
8029510030;2015-02-12;1905750.0;3;3;2740;11872;2;0;0;3;9;0;1990;0;47.3076;-122.395
2025069065;2014-09-29;12600000.0;4;3;3650;8354;1;1;4;3;9;1820;2000;0;47.6338;-122.072
7899800890;2015-02-26;950250.0;2;2;720;5120;1;0;0;3;6;0;1954;0;47.5218;-122.357
3021059276;2015-03-14;1312500.0;4;2;2010;7312;1;0;0;4;7;0;1976;0;47.2785;-122.213
3832710960;2014-09-23;1365000.0;3;2;1810;7209;1;0;0;4;7;570;1978;0;47.3656;-122.278
1422300030;2015-04-01;2178750.0;3;3;1510;36224;2;0;0;3;8;0;1991;0;47.4616;-121.711
1105000588;2015-04-21;1834875.0;3;1;1400;3538;1;0;0;3;7;600;1953;0;47.5405;-122.27
3830630060;2014-09-29;1286250.0;3;3;1730;7442;2;0;0;3;7;0;1987;0;47.3507;-122.178
7972601890;2014-10-20;2021250.0;4;2;2360;7620;1;0;0;4;7;1180;1955;0;47.5278;-122.345
5127001620;2015-02-11;1653750.0;3;2;1580;11455;1;0;0;4;7;380;1974;0;47.4756;-122.147
9407100800;2014-11-24;1338750.0;3;1;1230;10170;1;0;0;3;7;0;1979;0;47.4437;-121.772
8644000060;2014-10-24;1244250.0;3;2;1270;8470;1;0;0;4;7;0;1960;0;47.4207;-122.29
3325069129;2014-12-16;2756250.0;3;3;2100;40510;2;0;0;3;10;780;1979;0;47.6154;-122.047
8078560140;2014-05-19;1522500.0;4;3;1700;7280;2;0;0;4;7;0;1988;0;47.4045;-122.171
3438500192;2014-09-29;1496250.0;3;1;1120;10701;1;0;0;3;7;0;1954;0;47.5544;-122.358
2557000400;2015-04-09;1430625.0;3;3;2070;9900;1;0;0;3;8;650;1979;0;47.2988;-122.371
7960900060;2015-05-04;15225000.0;4;4;5050;20100;2;0;2;3;11;300;1982;2008;47.6312;-122.223
4054500390;2014-10-07;7166250.0;4;5;5310;57346;2;0;0;4;11;0;1989;0;47.7285;-122.042
1745100140;2014-10-17;1102500.0;3;1;1700;11390;1;0;0;4;7;0;1967;0;47.3271;-122.323
2976800796;2014-09-25;1239000.0;3;1;1300;5898;1;0;0;3;7;0;1961;0;47.5053;-122.255
4235400186;2014-11-24;1737750.0;3;2;1080;1306;1;0;0;3;7;500;1954;2003;47.6601;-122.4
9189700045;2015-01-27;2362500.0;3;2;2290;16258;1;0;0;5;8;0;1960;0;47.4672;-122.165
2022069200;2015-05-05;2388750.0;4;3;2210;49375;1;0;0;3;8;0;1997;0;47.3828;-122.071
1722059235;2014-07-03;1600725.0;4;2;2600;11325;1;0;0;4;7;990;1969;0;47.3954;-122.206
5634500392;2015-04-10;1732500.0;3;3;2420;13959;1;0;0;4;8;680;1988;0;47.7486;-122.23
1509500060;2014-09-05;1942500.0;4;3;2720;8666;2;0;0;3;9;0;1992;0;47.3846;-122.169
7214810350;2014-10-17;2451750.0;5;3;2500;13500;1;0;0;3;7;650;1979;0;47.7564;-122.144
6647200060;2015-02-09;2126250.0;3;2;1670;6720;1;0;0;3;7;530;1980;0;47.7198;-122.193
9552700140;2014-07-02;3543750.0;5;3;2900;10300;1;0;0;3;8;1450;1985;0;47.5461;-122.151
2200500350;2014-08-12;2625000.0;2;1;1640;14100;1;0;0;4;7;500;1954;0;47.5712;-122.143
6113400046;2014-07-23;2047494.75;4;3;1890;15770;2;0;0;4;7;0;1968;0;47.4281;-122.343
6619910140;2015-02-24;3307500.0;4;2;2950;9025;1;0;2;4;8;1170;1975;0;47.7128;-122.223
1115450240;2014-10-22;1890000.0;4;3;2160;9528;2;0;0;3;9;0;1992;0;47.3341;-122.255
6073240060;2014-10-02;3045000.0;4;3;3280;11060;2;0;0;3;8;1010;1986;0;47.5399;-122.181
9510920070;2014-07-10;4614750.0;4;3;3360;22111;2;0;0;3;10;0;1994;0;47.5951;-122.017
5468730030;2014-08-22;1391250.0;3;2;1320;8959;1;0;0;3;7;0;1993;0;47.3536;-122.144
8079030390;2015-03-04;2344125.0;3;3;2650;7286;2;0;0;3;8;0;1990;0;47.5084;-122.154
600000152;2014-06-02;2121000.0;3;2;2030;8880;1;0;0;3;7;700;1963;0;47.5586;-122.311
1840000030;2014-05-29;1404375.0;3;2;1590;11914;1;0;2;3;7;500;1957;0;47.4427;-122.274
3260800030;2014-08-11;1758750.0;3;3;2440;7632;2;0;0;3;8;0;1998;0;47.3494;-122.301
4330600350;2015-01-15;1653750.0;3;3;2200;8750;1;0;0;4;7;1080;1964;0;47.476;-122.337
7280300196;2015-04-03;2887500.0;4;3;1800;7750;1;0;0;4;8;400;1965;0;47.7776;-122.384
8651520400;2014-06-12;3206437.5;4;3;2180;7297;2;0;0;3;8;0;1984;0;47.6459;-122.058
3204800200;2015-01-08;3491250.0;4;3;3320;10574;2;0;0;5;8;1100;1960;0;47.5376;-122.18
4139480200;2014-06-18;7266000.0;4;4;4290;12103;1;0;3;3;11;1600;1997;0;47.5503;-122.102
4139480200;2014-12-09;7350000.0;4;4;4290;12103;1;0;3;3;11;1600;1997;0;47.5503;-122.102
1328320800;2014-11-05;1601250.0;4;3;1950;7700;1;0;0;3;8;600;1979;0;47.4441;-122.125
3422059208;2015-05-11;2047500.0;3;3;1930;64904;1;0;0;4;8;0;1988;0;47.346;-122.157
2597650240;2014-10-23;2730000.0;3;3;2030;16200;2;0;0;3;8;0;1984;0;47.5162;-122.057
7972000240;2015-02-02;1260000.0;3;2;1510;10248;1;0;0;3;7;0;1969;0;47.2929;-122.371
3530210260;2014-10-27;1443618.75;3;3;3030;45004;2;0;0;3;9;0;1987;0;47.7721;-122.093
1665400045;2015-04-28;978468.75;3;1;1000;7636;1;0;0;2;7;0;1952;0;47.472;-122.344
9542850320;2014-07-25;4147500.0;3;3;2370;10289;1;0;0;4;9;780;1977;0;47.592;-122.166
3179100060;2014-09-16;4620000.0;4;4;2800;6750;2;0;0;3;9;910;1951;2002;47.669;-122.275
2946001550;2015-04-16;1464750.0;6;2;2240;11180;2;0;0;4;7;0;1955;0;47.42;-122.323
8078490390;2014-07-29;1548750.0;3;2;1810;10530;1;0;2;3;8;0;1991;0;47.1913;-122.012
191100045;2014-07-03;4935000.0;4;2;2490;9525;2;0;0;5;9;0;1968;0;47.5639;-122.217
405100295;2014-08-26;1391250.0;3;2;1420;8250;1;0;0;3;7;0;1954;0;47.7535;-122.354
4268200055;2015-05-01;1286250.0;3;2;1740;11547;1;0;0;3;7;0;1954;0;47.4945;-122.22
3126069068;2015-04-24;2546250.0;4;2;2560;43995;2;0;0;4;7;0;1962;0;47.6945;-122.093
6414100671;2014-09-09;2231250.0;3;2;2500;6840;1;0;0;3;8;1200;1957;0;47.7222;-122.32
7004200060;2014-10-17;1625400.0;4;2;1275;20000;1;0;0;4;6;0;1991;0;47.3796;-122.49
808000070;2014-10-21;1084650.0;3;2;1390;13464;1;0;0;4;7;0;1987;0;47.3581;-122.173
7374200030;2015-04-16;2031750.0;4;2;2500;7690;1;0;0;3;7;1250;1973;0;47.7713;-122.307
7325600160;2014-06-04;1569750.0;1;1;560;12120;1;0;0;3;4;0;1967;0;47.675;-121.854
2757000030;2014-09-22;4488750.0;4;3;2270;10460;2;0;0;3;9;0;1965;0;47.5603;-122.222
616000140;2015-01-26;1653750.0;3;1;1900;14400;1;0;0;4;7;600;1954;0;47.4147;-122.337
9262800171;2015-03-24;1323000.0;4;2;1550;19800;1;0;0;4;7;500;1969;0;47.3117;-122.27
6607000126;2014-06-04;1968750.0;4;2;2200;7475;1;0;0;5;7;1100;1955;0;47.543;-122.28
2201500030;2014-10-06;2205000.0;4;1;1750;9600;2;0;0;4;7;0;1954;0;47.5759;-122.137
952003285;2014-08-05;3569475.0;3;3;2440;5750;2;0;2;3;9;460;2000;0;47.565;-122.381
3211290370;2014-06-05;2430750.0;3;3;1640;29970;2;0;0;3;7;0;1992;0;47.6359;-121.974
1072010350;2014-08-28;1995000.0;5;3;2760;11340;2;0;0;4;9;0;1978;0;47.4769;-122.141
8856950070;2014-12-10;1729875.0;4;3;1820;7912;2;0;0;3;7;0;1994;0;47.3845;-122.029
7855801090;2014-09-17;4173750.0;5;3;3040;9570;1;0;2;4;8;1400;1966;0;47.5651;-122.164
723099065;2015-01-30;2441250.0;3;2;1840;40438;2;0;0;3;7;0;1994;0;47.4853;-121.709
1118500030;2014-10-01;4252500.0;4;3;3520;15420;2;0;0;3;10;0;1991;0;47.6375;-122.016
424069250;2015-04-23;4121250.0;4;3;2440;69415;1;0;0;4;8;530;1989;0;47.5944;-122.042
3291800710;2014-11-20;1774500.0;4;3;2090;7500;1;0;0;3;7;720;1986;0;47.4888;-122.182
6838700060;2014-12-04;1470000.0;3;3;1430;7222;2;0;0;3;7;0;1993;0;47.5112;-122.19
2231500030;2014-10-01;1653750.0;4;3;2180;10754;1;0;0;5;7;1080;1954;0;47.7711;-122.341
2231500030;2015-03-24;2782500.0;4;3;2180;10754;1;0;0;5;7;1080;1954;0;47.7711;-122.341
8155830060;2014-08-11;1559250.0;3;3;1450;7562;2;0;0;3;7;0;1994;0;47.5038;-122.189
1545804860;2014-10-27;1443750.0;3;3;1590;7750;1;0;0;3;7;530;1997;0;47.3624;-122.045
2883200160;2015-04-29;3123750.0;4;2;2020;2849;2;0;0;3;7;0;1960;0;47.6831;-122.329
1726059053;2014-09-16;1417500.0;2;2;1380;209959;1;0;0;1;6;0;1954;0;47.7461;-122.195
624111000;2014-08-05;4987500.0;3;3;4040;14338;2;0;0;3;10;1010;1986;0;47.7268;-122.06
8563040160;2015-01-21;2940000.0;4;3;2550;7800;1;0;0;3;8;970;1968;0;47.6283;-122.095
713500030;2014-07-28;7087500.0;5;4;4800;14984;2;0;2;3;11;1320;1998;0;47.5543;-122.148
8651600160;2014-11-11;4194750.0;4;3;2510;11585;2;0;0;4;8;0;1969;0;47.5483;-122.226
9517200030;2014-06-25;1918875.0;3;2;1410;9600;1;0;0;4;7;0;1983;0;47.7591;-122.146
2460700700;2014-05-15;1324837.5;3;2;1650;7352;1;0;0;3;7;490;1979;0;47.4612;-122.169
1223039290;2014-09-05;2120737.5;4;3;2120;13780;2;0;0;3;8;0;1993;0;47.4987;-122.365
2890100060;2014-08-01;2021250.0;4;2;2040;10726;1;0;0;3;7;660;1954;0;47.772;-122.358
7972600860;2014-12-10;1811250.0;4;1;1550;7620;2;0;0;3;7;0;1957;0;47.5287;-122.35
8857320070;2014-09-17;2572500.0;3;3;1980;3128;2;0;0;4;9;0;1979;0;47.6109;-122.114
1653500070;2014-05-12;4866750.0;4;3;3300;12090;2;0;0;3;8;0;1953;0;47.6294;-122.218
1923000030;2014-07-28;5869500.0;4;3;3840;16619;2;0;1;4;10;0;1983;0;47.5634;-122.213
3649100320;2015-04-30;1732500.0;2;1;1220;10000;1;0;0;5;7;0;1950;0;47.7405;-122.241
7375300160;2015-03-09;2782500.0;5;3;2720;8800;1;0;0;4;7;1220;1958;0;47.5976;-122.118
5175800060;2014-06-23;1916250.0;4;2;1940;25600;1;0;0;1;8;0;1962;0;47.5722;-122.129
2473251090;2014-06-19;1416975.0;4;2;1530;8750;2;0;0;4;7;0;1968;0;47.4556;-122.157
3420069065;2014-08-25;1890000.0;4;2;3730;16980;1;0;0;4;7;1580;1974;0;47.1775;-122.022
1151100070;2015-02-24;2294250.0;3;3;1750;22357;2;0;0;3;8;0;1994;0;47.4807;-121.779
8856950240;2014-06-18;1693125.0;4;3;1820;6753;2;0;0;3;7;0;1994;0;47.3845;-122.032
